Region,Country,Year,Category,Brand,Tier 1,Tier 2,Tier 3,Pep (%),Budget (LC),Pep Budget (LC),Bottler Budget (LC),Budget,Pep Budget,Bottler Budget
LAB South,Brazil,2024,Sport Drinks,Gatorade,Pull-Working,Sampling,Product Samples,50,665131,349985,315146,123497,64983,58514
LAB South,Brazil,2024,Sport Drinks,Gatorade,Pull-Working,Sampling,Sample Executing,50,16712303,8228655,8483648,3103041,1527847,1575194
LAB South,Brazil,2024,Sport Drinks,Gatorade,Pull-Working,Sponsorships,Other Sponsorships,50,21461659,10986728,10474931,3984873,2039950,1944923
LAB South,Brazil,2024,Sport Drinks,Gatorade,Pull-Working,Sponsorships,Sponsorships,50,2056623,994757,1061866,381861,184700,197161
LAB South,Brazil,2024,Sport Drinks,Gatorade,STB - Push,Capability Building/Other,Capability Building,50,1254877,643607,611270,232998,119501,113497
LAB South,Brazil,2024,Sport Drinks,Gatorade,STB - Push,Capability Building/Other,Capability Building/Other-Other,50,2038789,1086205,952584,378550,201680,176870
LAB South,Brazil,2024,Sport Drinks,Gatorade,STB - Push,Trade Equipment,On Premise Equipment,50,32977278,17313331,15663947,6123024,3214636,2908388
LAB South,Brazil,2024,Sport Drinks,Gatorade,STB - Push,Trade Equipment,"Stands/ Racks, Other Trade Equipment",50,17701545,8965871,8735674,3286717,1664729,1621988
LAB South,Brazil,2024,Sport Drinks,Gatorade,STB - Push,Trade Equipment,Trade Equipment-Other,50,6925335,3431306,3494029,1285855,637104,648751
LAB South,Brazil,2024,Sport Drinks,Gatorade,STB - Push,Trade Programs,Distribution Incentives,50,1704942,862246,842696,316563,160096,156467
LAB South,Brazil,2024,Sport Drinks,Gatorade,STB - Push,Trade Programs,Innovation Investments,50,2768192,1384218,1383974,513981,257013,256968
LAB South,Brazil,2024,Sport Drinks,Gatorade,STB - Push,Trade Programs,Other Trade Programs,50,29261355,14423700,14837655,5433074,2678106,2754968
LAB South,Brazil,2024,Sport Drinks,Gatorade,STB - Push,Trade Programs,Sales Incentives,50,4722692,2350836,2371856,876881,436489,440392
LAB South,Brazil,2024,Sport Drinks,Gatorade,STB - Push,Trade Programs,Space Investments,50,4662253,2447917,2214336,865659,454514,411145
LAB South,Brazil,2024,Sport Drinks,Gatorade,STB - Push,Unilateral,CDAs,50,3162136,1582729,1579407,587126,293871,293255
LAB South,Brazil,2024,Sport Drinks,Gatorade,STB - Push,Unilateral,Capital Equipment,0,0,0,0,0,0,0
LAB South,Brazil,2024,Sport Drinks,Gatorade,STB - Push,Unilateral,Other Unilateral,50,1098928,528050,570878,204042,98045,105997
LAB South,Brazil,2024,Sport Drinks,Gatorade,STB - Push,Unilateral,Price Support,50,1726959,842782,884177,320651,156482,164169
LAB South,Brazil,2024,CSD,H2OH,Pull-Non-Working,Ad Production,Digital Ad Production,50,4026586,1949958,2076628,747632,362056,385576
LAB South,Brazil,2024,CSD,H2OH,Pull-Non-Working,Ad Production,Other Ad Production,50,3650314,1788463,1861851,677768,332071,345697
LAB South,Brazil,2024,CSD,H2OH,Pull-Non-Working,Ad Production,TV Print Radio OOH Prod,50,318868,154243,164625,59205,28638,30567
LAB South,Brazil,2024,CSD,H2OH,Pull-Non-Working,Agency Fees,Creative Agency Fees,50,3584809,1793304,1791505,665606,332970,332636
LAB South,Brazil,2024,CSD,H2OH,Pull-Non-Working,Agency Fees,In Store and POS Design/Development,50,2911692,1391295,1520397,540625,258327,282298
LAB South,Brazil,2024,CSD,H2OH,Pull-Non-Working,Agency Fees,Media Agency Fees,50,645834,315906,329928,119914,58655,61259
LAB South,Brazil,2024,CSD,H2OH,Pull-Non-Working,Agency Fees,Other Agency Fees,50,6923435,3561436,3361999,1285502,661266,624236
LAB South,Brazil,2024,CSD,H2OH,Pull-Non-Working,Agency Fees,Social Media/Influence Marketing,50,7245318,3560129,3685189,1345267,661023,684244
LAB South,Brazil,2024,CSD,H2OH,Pull-Non-Working,Innovation and Insight,Innovation,50,1125165,578863,546302,208913,107479,101434
LAB South,Brazil,2024,CSD,H2OH,Pull-Non-Working,Innovation and Insight,Market Research,50,415285,212090,203195,77107,39379,37728
LAB South,Brazil,2024,CSD,H2OH,Pull-Non-Working,Innovation and Insight,Other Innovation and Insight,50,415010,207031,207979,77056,38440,38616
LAB South,Brazil,2024,CSD,H2OH,Pull-Non-Working,Insight,Advanced Analytics,50,740005,366771,373234,137399,68099,69300
LAB South,Brazil,2024,CSD,H2OH,Pull-Non-Working,Insight,Brand Building,50,728929,366456,362473,135343,68041,67302
LAB South,Brazil,2024,CSD,H2OH,Pull-Non-Working,Insight,Consumer Tracking,50,23494053,11264177,12229876,4362236,2091465,2270771
LAB South,Brazil,2024,CSD,H2OH,Pull-Non-Working,Insight,Customer / Retail and Insights and Analytics,50,5174492,2584223,2590269,960768,479823,480945
LAB South,Brazil,2024,CSD,H2OH,Pull-Non-Working,Insight,Foundational Data / Systems,50,854349,436067,418282,158630,80966,77664
LAB South,Brazil,2024,CSD,H2OH,Pull-Non-Working,Insight,Innovation Insights,50,1144183,597776,546407,212445,110991,101454
LAB South,Brazil,2024,CSD,H2OH,Pull-Non-Working,Insight,Strategic Insights,50,3408006,1604676,1803330,632778,297946,334832
LAB South,Brazil,2024,CSD,H2OH,Pull-Non-Working,Other Non Working,All Other Non Working,50,1851553,930298,921255,343785,172732,171053
LAB South,Brazil,2024,CSD,H2OH,Pull-Non-Working,Other Non Working,NW-Cross Charges,50,51938,25079,26859,9643,4656,4987
LAB South,Brazil,2024,CSD,H2OH,Pull-Non-Working,Other Non Working,NW-Excluded non-A&M Items,50,302743,159087,143656,56211,29538,26673
LAB South,Brazil,2024,CSD,H2OH,Pull-Non-Working,Other Non Working,NW-Fall In / Fall Out,50,1567895,767921,799974,291117,142583,148534
LAB South,Brazil,2024,CSD,H2OH,Pull-Non-Working,Other Non Working,Out of Scope Countries ( D8 Gastos),50,16064310,8056157,8008153,2982725,1495819,1486906
LAB South,Brazil,2024,CSD,H2OH,Pull-Non-Working,Package Design,Other Package Design,50,15958250,7588678,8369572,2963033,1409020,1554013
LAB South,Brazil,2024,CSD,H2OH,Pull-Non-Working,Package Design,Package Design,50,32395027,17010493,15384534,6014916,3158407,2856509
LAB South,Brazil,2024,CSD,H2OH,Pull-Working,Consumer Promotions,Consumer Promotions Execution,50,4509552,2227839,2281713,837306,413651,423655
LAB South,Brazil,2024,CSD,H2OH,Pull-Working,Consumer Promotions,Coupons (Redemption),50,3594010,1733392,1860618,667314,321845,345469
LAB South,Brazil,2024,CSD,H2OH,Pull-Working,Consumer Promotions,Other Consumer Promotions,50,7751084,3916358,3834726,1439175,727166,712009
LAB South,Brazil,2024,CSD,H2OH,Pull-Working,Consumer Promotions,Premiums,50,228140,112054,116086,42359,20805,21554
LAB South,Brazil,2024,CSD,H2OH,Pull-Working,In Store & POS Execution,In-Store and POS Execution,50,225360,114137,111223,41843,21192,20651
LAB South,Brazil,2024,CSD,H2OH,Pull-Working,In Store & POS Execution,Other In-Store and POS Execution,50,3386791,1731273,1655518,628839,321452,307387
LAB South,Brazil,2024,CSD,H2OH,Pull-Working,Media Placements,Digital Media,50,3387856,1642463,1745393,629036,304962,324074
LAB South,Brazil,2024,CSD,H2OH,Pull-Working,Media Placements,Media Placements,50,13515075,7014986,6500089,2509398,1302500,1206898
LAB South,Brazil,2024,CSD,H2OH,Pull-Working,Media Placements,Other Media,50,13378474,6789584,6588890,2484035,1260649,1223386
LAB South,Brazil,2024,CSD,H2OH,Pull-Working,Other Working,All Other Working,50,8035481,4050097,3985384,1491980,751997,739983
LAB South,Brazil,2024,CSD,H2OH,Pull-Working,Other Working,W-Cross Charges,50,7747091,3912291,3834800,1438433,726410,712023
LAB South,Brazil,2024,CSD,H2OH,Pull-Working,Other Working,W-Excluded non-A&M Items,50,23797921,11708100,12089821,4418656,2173890,2244766
LAB South,Brazil,2024,CSD,H2OH,Pull-Working,Other Working,W-Fall In / Fall Out,50,4203127,2104876,2098251,780411,390820,389591
LAB South,Brazil,2024,CSD,H2OH,Pull-Working,Sampling,Other Sampling,50,52755,26239,26516,9795,4871,4924
LAB South,Brazil,2024,CSD,H2OH,Pull-Working,Sampling,Product Samples,50,691278,335091,356187,128352,62217,66135
LAB South,Brazil,2024,CSD,H2OH,Pull-Working,Sampling,Sample Executing,50,17037849,8138566,8899283,3163486,1511120,1652366
LAB South,Brazil,2024,CSD,H2OH,Pull-Working,Sponsorships,Other Sponsorships,50,21075333,10747815,10327518,3913142,1995590,1917552
LAB South,Brazil,2024,CSD,H2OH,Pull-Working,Sponsorships,Sponsorships,50,2059914,1020974,1038940,382472,189568,192904
LAB South,Brazil,2024,CSD,H2OH,STB - Push,Capability Building/Other,Capability Building,50,1250740,635395,615345,232229,117976,114253
LAB South,Brazil,2024,CSD,H2OH,STB - Push,Capability Building/Other,Capability Building/Other-Other,50,2060057,1017973,1042084,382499,189011,193488
LAB South,Brazil,2024,CSD,H2OH,STB - Push,Trade Equipment,On Premise Equipment,50,34150823,16496055,17654768,6340921,3062889,3278032
LAB South,Brazil,2024,CSD,H2OH,STB - Push,Trade Equipment,"Stands/ Racks, Other Trade Equipment",50,18157095,8788947,9368148,3371301,1631879,1739422
LAB South,Brazil,2024,CSD,H2OH,STB - Push,Trade Equipment,Trade Equipment-Other,50,6794216,3494263,3299953,1261509,648793,612716
LAB South,Brazil,2024,CSD,H2OH,STB - Push,Trade Programs,Distribution Incentives,50,1700971,857615,843356,315826,159236,156590
LAB South,Brazil,2024,CSD,H2OH,STB - Push,Trade Programs,Innovation Investments,0,0,0,0,0,0,0
LAB South,Brazil,2024,CSD,H2OH,STB - Push,Trade Programs,Other Trade Programs,50,28750611,14435127,14315484,5338242,2680228,2658014
LAB South,Brazil,2024,CSD,H2OH,STB - Push,Trade Programs,Sales Incentives,50,4617141,2404046,2213095,857283,446368,410915
LAB South,Brazil,2024,CSD,H2OH,STB - Push,Trade Programs,Space Investments,50,4624522,2390151,2234371,858653,443789,414864
LAB South,Brazil,2024,CSD,H2OH,STB - Push,Unilateral,CDAs,50,3152669,1571203,1581466,585368,291731,293637
LAB South,Brazil,2024,CSD,H2OH,STB - Push,Unilateral,Capital Equipment,50,26396117,12642050,13754067,4901074,2347300,2553774
LAB South,Brazil,2024,CSD,H2OH,STB - Push,Unilateral,Other Unilateral,50,1114630,526608,588022,206957,97777,109180
LAB South,Brazil,2024,CSD,H2OH,STB - Push,Unilateral,Price Support,50,1745665,868702,876963,324124,161295,162829
LAB South,Brazil,2024,RTD Tea,Lipton,Pull-Non-Working,Ad Production,Digital Ad Production,50,12051758,6065819,5985939,2237698,1126265,1111433
LAB South,Brazil,2024,RTD Tea,Lipton,Pull-Non-Working,Ad Production,Other Ad Production,50,7185487,3660866,3524621,1334158,679727,654431
LAB South,Brazil,2024,RTD Tea,Lipton,Pull-Non-Working,Ad Production,TV Print Radio OOH Prod,50,25829428,13052678,12776750,4795854,2423543,2372311
LAB South,Brazil,2024,RTD Tea,Lipton,Pull-Non-Working,Agency Fees,Creative Agency Fees,50,685424,364491,320933,127265,67676,59589
LAB South,Brazil,2024,RTD Tea,Lipton,Pull-Non-Working,Agency Fees,In Store and POS Design/Development,50,56167,28722,27445,10428,5332,5096
LAB South,Brazil,2024,RTD Tea,Lipton,Pull-Non-Working,Agency Fees,Media Agency Fees,50,287757,148189,139568,53429,27514,25915
LAB South,Brazil,2024,RTD Tea,Lipton,Pull-Non-Working,Agency Fees,Other Agency Fees,50,354027,183487,170540,65733,34068,31665
LAB South,Brazil,2024,RTD Tea,Lipton,Pull-Non-Working,Agency Fees,Social Media/Influence Marketing,50,705992,349668,356324,131084,64924,66160
LAB South,Brazil,2024,RTD Tea,Lipton,Pull-Non-Working,Innovation and Insight,Innovation,50,8719647,4554407,4165240,1619012,845635,773377
LAB South,Brazil,2024,RTD Tea,Lipton,Pull-Non-Working,Innovation and Insight,Market Research,50,1410972,713421,697551,261980,132463,129517
LAB South,Brazil,2024,RTD Tea,Lipton,Pull-Non-Working,Innovation and Insight,Other Innovation and Insight,50,1405212,705924,699288,260911,131071,129840
LAB South,Brazil,2024,RTD Tea,Lipton,Pull-Non-Working,Insight,Advanced Analytics,50,3688999,1851259,1837740,684951,343730,341221
LAB South,Brazil,2024,RTD Tea,Lipton,Pull-Non-Working,Insight,Brand Building,50,1039917,510805,529112,193085,94843,98242
LAB South,Brazil,2024,RTD Tea,Lipton,Pull-Non-Working,Insight,Consumer Tracking,50,535754,265661,270093,99475,49326,50149
LAB South,Brazil,2024,RTD Tea,Lipton,Pull-Non-Working,Insight,Customer / Retail and Insights and Analytics,50,2158925,1056639,1102286,400856,196190,204666
LAB South,Brazil,2024,RTD Tea,Lipton,Pull-Non-Working,Insight,Foundational Data / Systems,50,3630073,1858167,1771906,674010,345013,328997
LAB South,Brazil,2024,RTD Tea,Lipton,Pull-Non-Working,Insight,Innovation Insights,50,3700816,1819925,1880891,687145,337912,349233
LAB South,Brazil,2024,RTD Tea,Lipton,Pull-Non-Working,Insight,Strategic Insights,50,3333901,1724930,1608971,619018,320274,298744
LAB South,Brazil,2024,RTD Tea,Lipton,Pull-Non-Working,Other Non Working,All Other Non Working,50,253407,126159,127248,47051,23424,23627
LAB South,Brazil,2024,RTD Tea,Lipton,Pull-Non-Working,Other Non Working,NW-Cross Charges,50,3743361,1851923,1891438,695045,343854,351191
LAB South,Brazil,2024,RTD Tea,Lipton,Pull-Non-Working,Other Non Working,NW-Excluded non-A&M Items,50,224002698,114632000,109370698,41591489,21284188,20307301
LAB South,Brazil,2024,RTD Tea,Lipton,Pull-Non-Working,Other Non Working,NW-Fall In / Fall Out,50,42119019,20964105,21154914,7820409,3892490,3927919
LAB South,Brazil,2024,RTD Tea,Lipton,Pull-Non-Working,Other Non Working,Out of Scope Countries ( D8 Gastos),50,22362708,11251177,11111531,4152174,2089051,2063123
LAB South,Brazil,2024,RTD Tea,Lipton,Pull-Non-Working,Package Design,Other Package Design,50,4314383,2063660,2250723,801068,383168,417900
LAB South,Brazil,2024,RTD Tea,Lipton,Pull-Non-Working,Package Design,Package Design,50,4279616,2110427,2169189,794613,391851,402762
LAB South,Brazil,2024,RTD Tea,Lipton,Pull-Working,Consumer Promotions,Consumer Promotions Execution,50,4445039,2194256,2250783,825328,407416,417912
LAB South,Brazil,2024,RTD Tea,Lipton,Pull-Working,Consumer Promotions,Coupons (Redemption),50,4603112,2269806,2333306,854678,421444,433234
LAB South,Brazil,2024,RTD Tea,Lipton,Pull-Working,Consumer Promotions,Other Consumer Promotions,50,7139754,3438892,3700862,1325667,638513,687154
LAB South,Brazil,2024,RTD Tea,Lipton,Pull-Working,Consumer Promotions,Premiums,50,2840263,1390665,1449598,527363,258210,269153
LAB South,Brazil,2024,RTD Tea,Lipton,Pull-Working,In Store & POS Execution,In-Store and POS Execution,50,9938340,4851976,5086364,1845291,900886,944405
LAB South,Brazil,2024,RTD Tea,Lipton,Pull-Working,In Store & POS Execution,Other In-Store and POS Execution,50,44527472,21914840,22612632,8267596,4069017,4198579
LAB South,Brazil,2024,RTD Tea,Lipton,Pull-Working,Media Placements,Digital Media,50,1902163,953869,948294,353182,177108,176074
LAB South,Brazil,2024,RTD Tea,Lipton,Pull-Working,Media Placements,Media Placements,50,1979498,980041,999457,367541,181968,185573
LAB South,Brazil,2024,RTD Tea,Lipton,Pull-Working,Media Placements,Other Media,50,1069086,515942,553144,198501,95797,102704
LAB South,Brazil,2024,RTD Tea,Lipton,Pull-Working,Other Working,All Other Working,50,6785592,3558050,3227542,1259908,660637,599271
LAB South,Brazil,2024,RTD Tea,Lipton,Pull-Working,Other Working,W-Cross Charges,50,11674255,5807557,5866698,2167606,1078312,1089294
LAB South,Brazil,2024,RTD Tea,Lipton,Pull-Working,Other Working,W-Excluded non-A&M Items,50,4454084,2195079,2259005,827007,407569,419438
LAB South,Brazil,2024,RTD Tea,Lipton,Pull-Working,Other Working,W-Fall In / Fall Out,50,8184892,4133047,4051845,1519722,767399,752323
LAB South,Brazil,2024,RTD Tea,Lipton,Pull-Working,Sampling,Other Sampling,50,12819318,6501297,6318021,2380214,1207122,1173092
LAB South,Brazil,2024,RTD Tea,Lipton,Pull-Working,Sampling,Product Samples,50,5185832,2515507,2670325,962874,467064,495810
LAB South,Brazil,2024,RTD Tea,Lipton,Pull-Working,Sampling,Sample Executing,50,16408537,8123498,8285039,3046639,1508322,1538317
LAB South,Brazil,2024,RTD Tea,Lipton,Pull-Working,Sponsorships,Other Sponsorships,50,18974320,9376768,9597552,3523038,1741022,1782016
LAB South,Brazil,2024,RTD Tea,Lipton,Pull-Working,Sponsorships,Sponsorships,50,144542366,69477943,75064423,26837767,12900251,13937516
LAB South,Brazil,2024,RTD Tea,Lipton,STB - Push,Capability Building/Other,Capability Building,50,121645971,63308343,58337628,22586500,11754716,10831784
LAB South,Brazil,2024,RTD Tea,Lipton,STB - Push,Capability Building/Other,Capability Building/Other-Other,50,121407291,59402832,62004459,22542184,11029564,11512620
LAB South,Brazil,2024,RTD Tea,Lipton,STB - Push,Trade Equipment,On Premise Equipment,50,843941,424406,419535,156697,78801,77896
LAB South,Brazil,2024,RTD Tea,Lipton,STB - Push,Trade Equipment,"Stands/ Racks, Other Trade Equipment",50,14431358,6805003,7626355,2679528,1263512,1416016
LAB South,Brazil,2024,RTD Tea,Lipton,STB - Push,Trade Equipment,Trade Equipment-Other,50,3684996,1920513,1764483,684208,356589,327619
LAB South,Brazil,2024,RTD Tea,Lipton,STB - Push,Trade Programs,Distribution Incentives,50,18186501,9645790,8540711,3376761,1790972,1585789
LAB South,Brazil,2024,RTD Tea,Lipton,STB - Push,Trade Programs,Innovation Investments,50,18900076,9417025,9483051,3509253,1748497,1760756
LAB South,Brazil,2024,RTD Tea,Lipton,STB - Push,Trade Programs,Other Trade Programs,50,3778288,1912585,1865703,701530,355117,346413
LAB South,Brazil,2024,RTD Tea,Lipton,STB - Push,Trade Programs,Sales Incentives,50,170375,86741,83634,31634,16105,15529
LAB South,Brazil,2024,RTD Tea,Lipton,STB - Push,Trade Programs,Space Investments,50,1355899,670919,684980,251755,124572,127183
LAB South,Brazil,2024,RTD Tea,Lipton,STB - Push,Unilateral,CDAs,50,4209717,2240112,1969605,781635,415930,365705
LAB South,Brazil,2024,RTD Tea,Lipton,STB - Push,Unilateral,Capital Equipment,0,0,0,0,0,0,0
LAB South,Brazil,2024,RTD Tea,Lipton,STB - Push,Unilateral,Other Unilateral,50,29255574,15074752,14180822,5432001,2798990,2633011
LAB South,Brazil,2024,RTD Tea,Lipton,STB - Push,Unilateral,Price Support,50,28891018,14128029,14762989,5364312,2623208,2741104
LAB South,Brazil,2024,CSD,Pepsi,Pull-Non-Working,Ad Production,Digital Ad Production,50,3998277,1981496,2016781,742376,367912,374464
LAB South,Brazil,2024,CSD,Pepsi,Pull-Non-Working,Ad Production,Other Ad Production,50,3525424,1826070,1699354,654579,339053,315526
LAB South,Brazil,2024,CSD,Pepsi,Pull-Non-Working,Ad Production,TV Print Radio OOH Prod,50,308913,159188,149725,57357,29557,27800
LAB South,Brazil,2024,CSD,Pepsi,Pull-Non-Working,Agency Fees,Creative Agency Fees,50,3442407,1733084,1709323,639165,321788,317377
LAB South,Brazil,2024,CSD,Pepsi,Pull-Non-Working,Agency Fees,In Store and POS Design/Development,50,2858128,1427602,1430526,530680,265068,265612
LAB South,Brazil,2024,CSD,Pepsi,Pull-Non-Working,Agency Fees,Media Agency Fees,50,631924,320315,311609,117331,59474,57857
LAB South,Brazil,2024,CSD,Pepsi,Pull-Non-Working,Agency Fees,Other Agency Fees,50,6962094,3584858,3377236,1292680,665615,627065
LAB South,Brazil,2024,CSD,Pepsi,Pull-Non-Working,Agency Fees,Social Media/Influence Marketing,50,7164405,3430343,3734062,1330244,636925,693319
LAB South,Brazil,2024,CSD,Pepsi,Pull-Non-Working,Innovation and Insight,Innovation,50,1107052,567669,539383,205550,105401,100149
LAB South,Brazil,2024,CSD,Pepsi,Pull-Non-Working,Innovation and Insight,Market Research,50,404393,211268,193125,75085,39226,35859
LAB South,Brazil,2024,CSD,Pepsi,Pull-Non-Working,Innovation and Insight,Other Innovation and Insight,50,414270,205484,208786,76919,38153,38766
LAB South,Brazil,2024,CSD,Pepsi,Pull-Non-Working,Insight,Advanced Analytics,50,736474,365671,370803,136744,67895,68849
LAB South,Brazil,2024,CSD,Pepsi,Pull-Non-Working,Insight,Brand Building,50,725325,356505,368820,134674,66193,68481
LAB South,Brazil,2024,CSD,Pepsi,Pull-Non-Working,Insight,Consumer Tracking,50,22980152,11242115,11738037,4266818,2087369,2179449
LAB South,Brazil,2024,CSD,Pepsi,Pull-Non-Working,Insight,Customer / Retail and Insights and Analytics,50,5504733,2605530,2899203,1022086,483779,538307
LAB South,Brazil,2024,CSD,Pepsi,Pull-Non-Working,Insight,Foundational Data / Systems,50,833908,431678,402230,154835,80151,74684
LAB South,Brazil,2024,CSD,Pepsi,Pull-Non-Working,Insight,Innovation Insights,50,1144617,566782,577835,212525,105236,107289
LAB South,Brazil,2024,CSD,Pepsi,Pull-Non-Working,Insight,Strategic Insights,50,3230564,1602821,1627743,599831,297602,302229
LAB South,Brazil,2024,CSD,Pepsi,Pull-Non-Working,Other Non Working,All Other Non Working,50,1863653,931994,931659,346032,173047,172985
LAB South,Brazil,2024,CSD,Pepsi,Pull-Non-Working,Other Non Working,NW-Cross Charges,50,52724,25478,27246,9789,4730,5059
LAB South,Brazil,2024,CSD,Pepsi,Pull-Non-Working,Other Non Working,NW-Excluded non-A&M Items,50,310258,154389,155869,57606,28666,28940
LAB South,Brazil,2024,CSD,Pepsi,Pull-Non-Working,Other Non Working,NW-Fall In / Fall Out,50,1560517,761928,798589,289747,141470,148277
